Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,engine,max_power,seats,mileage
Mahindra Scorpio 2009-2014 EX 2WD 7S,2014,611000,90000,Diesel,Individual,Manual,Second Owner,2523,75,7,14
Honda Brio S MT,2016,400000,68000,Petrol,Individual,Manual,First Owner,1198,86.8,5,19.4
Hyundai Elantra CRDi SX,2013,700000,120000,Diesel,Individual,Manual,First Owner,1582,126.24,5,22.7
Chevrolet Sail Hatchback LS ABS,2013,300000,65000,Diesel,Individual,Manual,First Owner,1248,76.9,5,22.1
Hyundai Getz GLS,2005,65000,85000,Petrol,Individual,Manual,First Owner,1341,83,5,15.3
Maruti Wagon R VXI BS IV,2011,200000,94000,Petrol,Individual,Manual,Third Owner,998,67.1,5,18.9
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,100000,Diesel,Individual,Manual,First Owner,1396,88.73,5,22.54
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,80000,Diesel,Individual,Manual,First Owner,1396,88.73,5,22.54
Volkswagen Polo Diesel Trendline 1.2L,2013,350000,80000,Diesel,Individual,Manual,Third Owner,1199,73.9,5,22.07
Tata Indica V2 DL BSIII,2011,75000,140500,Diesel,Individual,Manual,Third Owner,1396,52.8,5,17.88
Maruti Swift Dzire VXi,2010,240000,143000,Petrol,Individual,Manual,First Owner,1298,85.8,5,17.5
Maruti Alto K10 2010-2014 VXI,2013,240000,60000,Petrol,Individual,Manual,First Owner,998,67.1,5,20.92
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,2011,180000,120000,Diesel,Individual,Manual,Second Owner,1248,75,5,18.4
Mahindra Thar DI 4X4,2014,425000,63000,Diesel,Individual,Manual,Second Owner,2523,63,7,18.06
Chevrolet Spark 1.0 LT,2009,95000,120000,Petrol,Individual,Manual,Third Owner,995,62,5,18
Maruti Swift Dzire VDI,2018,811000,100000,Diesel,Individual,Manual,First Owner,1248,74.02,5,28.4
Hyundai Verna VTVT 1.6 SX Option,2018,1100000,60000,Petrol,Individual,Manual,First Owner,1591,121.3,5,17
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2013,600000,90000,Diesel,Individual,Manual,First Owner,2499,72.4,9,13.58
Maruti Ertiga VDI,2014,550000,50000,Diesel,Individual,Manual,Second Owner,1248,88.76,7,20.77
Mahindra Scorpio S4 Plus 4WD,2015,715000,70000,Diesel,Individual,Manual,First Owner,2179,120,7,15.4
Tata Indigo LS BSII,2006,100000,120000,Diesel,Individual,Manual,Third Owner,1405,70,5,16.1
Maruti Wagon R Stingray VXI,2013,350000,40000,Petrol,Individual,Manual,First Owner,998,67.04,5,20.51
Tata Indica V2 DLS TC,2008,100000,40000,Diesel,Individual,Manual,First Owner,1405,62,5,16.8
Tata Safari DICOR 2.2 EX 4x2,2012,325000,120000,Diesel,Individual,Manual,First Owner,2179,138.03,7,13.93
Maruti 800 AC,1999,55000,60000,Petrol,Individual,Manual,Second Owner,796,37,4,16.1
Renault KWID RXT,2016,330000,20000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Mahindra Bolero 2011-2019 EX NON AC,2014,480000,37000,Diesel,Individual,Manual,First Owner,2523,62.1,7,15.96
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,950000,57000,Diesel,Individual,Manual,Second Owner,1248,88.5,5,25.1
Hyundai Verna Transform SX VGT CRDi,2011,300000,110000,Diesel,Individual,Manual,Second Owner,1493,110,5,16.2
Hyundai Verna Xi (Petrol),2006,170000,110000,Petrol,Individual,Manual,Fourth & Above Owner,1599,103.2,5,13.9
Toyota Innova 2.5 EV (Diesel) PS 8 Seater BS IV,2013,850000,120000,Diesel,Individual,Manual,Second Owner,2494,100.57,8,12.99
Tata Tigor 2017-2020 XZ Plus Diesel,2019,900000,8079,Diesel,Dealer,Manual,First Owner,1047,69,5,24.7
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,350000,79990,Diesel,Dealer,Manual,Second Owner,1399,67,5,17.8
Ford Figo Diesel Titanium,2012,425000,81632,Diesel,Dealer,Manual,First Owner,1399,68,5,20
Ford Aspire Titanium Diesel BSIV,2016,600000,155201,Diesel,Dealer,Manual,First Owner,1498,99.23,5,26.1
Ford Ecosport 1.5 DV5 MT Titanium,2014,750000,101504,Diesel,Dealer,Manual,First Owner,1498,89.84,5,22.7
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,450000,90165,Diesel,Dealer,Manual,First Owner,1399,67,5,17.8
Ford Figo Titanium Diesel BSIV,2010,325000,86017,Diesel,Dealer,Manual,Second Owner,1498,99.23,5,25.5
Mahindra XUV500 W8 2WD,2013,900000,85036,Diesel,Dealer,Manual,Second Owner,2179,140,7,15.1
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,600000,125531,Diesel,Dealer,Manual,Second Owner,1498,98.59,5,22.77
Hyundai Verna VTVT 1.6 SX Option,2019,1100000,10000,Petrol,Individual,Manual,First Owner,1591,121.3,5,17
Tata Tiago 1.2 Revotron XZ,2017,520000,20000,Petrol,Individual,Manual,First Owner,1199,84,5,23.84
Mahindra Scorpio S10 7 Seater,2015,885000,170000,Diesel,Individual,Manual,First Owner,2179,120,7,15.4
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,950000,40000,Diesel,Individual,Automatic,First Owner,1497,108.5,5,21.5
Honda City 1.5 E MT,2008,229999,120000,Petrol,Individual,Manual,Second Owner,1497,118,5,17
Maruti Ritz VDi,2013,409999,100000,Diesel,Individual,Manual,Third Owner,1248,73.94,5,23.2
Ford Fiesta EXi 1.4 TDCi Ltd,2011,300000,110000,Diesel,Individual,Manual,Third Owner,1399,68,5,17.8
Tata Indica V2 DLG TC,2008,175000,120000,Diesel,Individual,Manual,Third Owner,1405,68,5,16.8
Maruti Celerio ZXI,2017,425000,40000,Petrol,Individual,Manual,Second Owner,998,67.04,5,23.1
Chevrolet Optra Magnum 2.0 LS,2011,272000,170000,Diesel,Individual,Manual,Fourth & Above Owner,1991,123.7,5,16.52
Hyundai i10 Magna 1.1L,2013,310000,70000,Petrol,Individual,Manual,First Owner,1086,68.05,5,19.81
Hyundai Creta 1.4 CRDi S Plus,2017,1125000,105000,Diesel,Individual,Manual,First Owner,1396,88.7,5,21.38
Hyundai Xcent 1.2 Kappa S Option,2014,450000,46000,Petrol,Individual,Manual,Second Owner,1197,81.86,5,19.1
Volkswagen Polo Diesel Highline 1.2L,2011,388000,80000,Diesel,Individual,Manual,Second Owner,1199,73.9,5,22.07
Hyundai Verna Transform SX VTVT,2011,400000,60000,Petrol,Individual,Manual,First Owner,1599,103.2,5,16.2
Honda City i DTEC VX,2015,760000,70000,Diesel,Individual,Manual,Third Owner,1498,98.6,5,25.1
Maruti Alto LXi,2009,120000,90000,Petrol,Individual,Manual,First Owner,796,46.3,5,19.7
Maruti Swift Dzire VDI,2019,757000,25000,Diesel,Individual,Manual,First Owner,1248,74.02,5,28.4
Maruti Alto 800 VXI,2015,270000,53000,Petrol,Individual,Manual,Second Owner,796,47.3,5,22.74
Tata Sumo MKII GX BS IV,2011,250000,90000,Diesel,Individual,Manual,Second Owner,2179,118.35,7,13.55
Toyota Innova Crysta 2.5 VX BS IV,2011,800000,60000,Diesel,Individual,Manual,First Owner,2494,102,7,12.8
Mahindra Thar CRDe AC,2014,700000,24000,Diesel,Individual,Manual,First Owner,2498,105,6,16.55
Honda Mobilio S i DTEC,2016,450000,100000,Diesel,Individual,Manual,Second Owner,1498,98.6,7,24.2
Mahindra KUV 100 G80 K8,2018,650000,6000,Petrol,Individual,Manual,First Owner,1198,82,6,18.15
Mahindra XUV500 W8 2WD,2013,950000,49700,Diesel,Individual,Manual,First Owner,2179,140,7,15.1
Toyota Innova 2.5 E Diesel MS 7-seater,2007,626000,80000,Diesel,Individual,Manual,Second Owner,2494,102,7,12.8
Maruti Swift Dzire AMT VXI,2019,600000,10000,Petrol,Individual,Automatic,First Owner,1197,81.8,5,21.21
Renault KWID RXT Optional,2019,290000,21000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Maruti Alto K10 2010-2014 VXI,2013,215000,25000,Petrol,Individual,Manual,First Owner,998,67.1,5,20.92
Renault KWID RXT Optional,2016,250000,22000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Maruti Ertiga SHVS ZDI Plus,2017,750000,50000,Diesel,Individual,Manual,First Owner,1248,88.5,7,24.52
Maruti Alto K10 VXI,2016,250000,20000,Petrol,Individual,Manual,Second Owner,998,67.05,5,23.95
Honda BRV i-VTEC V CVT,2017,950000,15000,Petrol,Individual,Automatic,First Owner,1497,117.3,7,15.4
Ford Figo Aspire 1.5 TDCi Titanium,2018,793000,30000,Diesel,Individual,Manual,First Owner,1498,99,5,25.83
Hyundai Creta 1.6 CRDi SX Option,2015,750000,74000,Diesel,Individual,Manual,First Owner,1582,126.2,5,19.67
Honda Jazz V CVT,2017,725000,6550,Petrol,Individual,Automatic,First Owner,1199,88.7,5,18.2
Hyundai Grand i10 CRDi Sportz,2016,480000,30000,Diesel,Individual,Manual,First Owner,1120,70,5,24
Maruti Swift Dzire ZXI Plus,2018,795000,41779,Petrol,Dealer,Manual,First Owner,1197,81.8,5,21.21
Honda Jazz 1.2 V i VTEC,2016,625000,54000,Petrol,Dealer,Manual,First Owner,1199,88.7,5,18.7
Maruti Ignis 1.3 AMT Zeta,2017,625000,37000,Diesel,Individual,Automatic,First Owner,1248,74,5,26.8
Maruti Ciaz RS ZDi Plus SHVS,2017,844999,70000,Diesel,Dealer,Manual,First Owner,1248,88.5,5,28.09
Skoda Rapid 1.5 TDI AT Style Plus,2016,650000,99000,Diesel,Dealer,Automatic,First Owner,1498,103.52,5,21.66
Maruti Swift ZXI 2018,2018,750000,15000,Petrol,Dealer,Manual,First Owner,1197,81.8,5,22
Honda Jazz 1.2 SV i VTEC,2015,610000,30000,Petrol,Dealer,Manual,First Owner,1199,88.7,5,18.7
Hyundai Creta 1.6 CRDi SX,2017,1150000,63309,Diesel,Dealer,Manual,First Owner,1582,126.2,5,19.67
Hyundai Elite i20 Asta Option CVT BSIV,2018,890000,29000,Petrol,Dealer,Automatic,First Owner,1197,81.86,5,17.4
Tata Indigo CS eLX BS IV,2017,385000,155000,Diesel,Individual,Manual,First Owner,1396,69.01,5,25
Maruti Celerio ZXI AT,2016,400000,35000,Petrol,Individual,Automatic,First Owner,998,67.04,5,23.1
Hyundai Grand i10 1.2 CRDi Sportz Option,2018,550000,50000,Diesel,Individual,Manual,First Owner,1186,73.97,5,24
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,270000,185000,Diesel,Individual,Manual,First Owner,2499,80,7,14.8
Tata Indigo CS LS (TDI) BS III,2013,200000,175000,Diesel,Individual,Manual,Second Owner,1396,69,5,19.09
Renault KWID RXT Optional,2016,310000,11500,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Hyundai Xcent 1.2 CRDi S,2019,700000,3000,Diesel,Individual,Manual,First Owner,1186,73.97,5,25.4
Chevrolet Sail LT ABS,2015,480000,80000,Diesel,Individual,Manual,Second Owner,1248,74,5,22.1
Maruti Alto LXI,2005,90000,40000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Maruti Alto LXI,2005,80000,40000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Maruti Ritz VDi,2015,350000,90000,Diesel,Individual,Manual,First Owner,1248,73.94,5,23.2
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,600000,100000,Diesel,Individual,Manual,First Owner,1248,88.5,5,23.65
Mahindra Scorpio M2DI,2011,350000,120000,Diesel,Individual,Manual,Third Owner,2179,115,5,13.5
Maruti Vitara Brezza VDi Option,2018,770000,50000,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Mahindra Verito 1.5 D6 BSIV,2012,350000,25000,Diesel,Individual,Manual,First Owner,1461,65,5,21.03
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,600000,50000,Diesel,Individual,Manual,Third Owner,2179,120,8,12.05
Mahindra TUV 300 T8,2016,750000,71000,Diesel,Individual,Manual,First Owner,1493,100,7,18.49
Maruti Wagon R VXI BS IV,2016,340000,40000,Petrol,Individual,Manual,First Owner,998,67.04,5,20.51
Hyundai Elite i20 Petrol Sportz,2018,650000,31800,Petrol,Individual,Manual,First Owner,1197,81.86,5,18.6
Hyundai i10 Sportz,2014,300000,65000,Petrol,Individual,Manual,First Owner,1197,78.9,5,20.36
Maruti Alto 800 LXI,2014,204999,15000,Petrol,Individual,Manual,Second Owner,796,47.3,5,22.74
Mahindra Verito 1.5 D4 BSIII,2012,254999,70000,Diesel,Individual,Manual,Second Owner,1461,65,5,20.8
Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,650000,5000,Petrol,Individual,Manual,First Owner,1196,86.8,5,18.16
Hyundai EON Magna Plus,2017,280000,50000,Petrol,Individual,Manual,Second Owner,814,55.2,5,21.1
Tata Indica V2 DLS,2011,100000,80000,Diesel,Individual,Manual,First Owner,1396,53.5,5,17.2
Chevrolet Tavera Neo 3 9 Str BSIII,2014,575000,70000,Diesel,Individual,Manual,Second Owner,2499,72.4,9,13.58
Maruti Vitara Brezza VDi,2017,780000,40000,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Mahindra Bolero 2011-2019 ZLX,2013,467000,157000,Diesel,Individual,Manual,First Owner,2523,62.1,7,15.96
Mahindra Scorpio S10 7 Seater,2015,1050000,90000,Diesel,Individual,Manual,First Owner,2179,120,7,15.4
Hyundai i10 Magna 1.1L,2011,225000,80000,Petrol,Individual,Manual,Second Owner,1086,68.05,5,19.81
Mahindra Verito 1.5 D4 BSIV,2012,260000,70000,Diesel,Individual,Manual,Second Owner,1461,65,5,21.03
Chevrolet Spark 1.0 E,2009,90000,50000,Petrol,Individual,Manual,Second Owner,995,63,5,16
Ford Figo Diesel ZXI,2012,280000,60000,Diesel,Individual,Manual,First Owner,1399,68,5,20
Mahindra Verito 1.5 D4 BSIII,2014,350000,106000,Diesel,Individual,Manual,Second Owner,1461,65,5,20.8
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2006,229999,80000,Diesel,Individual,Manual,Second Owner,2179,120,7,10.5
Mahindra Bolero 2011-2019 DI NON AC BS III White,2016,550000,80000,Diesel,Individual,Manual,Second Owner,2523,63,9,15.96
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,850000,110000,Diesel,Individual,Manual,Second Owner,2494,100,8,12.99
Mahindra Bolero DI,2011,370000,120000,Diesel,Individual,Manual,Third Owner,2523,63,7,13.6
Maruti Alto K10 LXI,2013,250000,27000,Petrol,Individual,Manual,First Owner,998,67.1,5,20.92
Maruti Alto LXi,2007,95000,70000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Maruti Wagon R LXI Minor,2010,180000,70000,Petrol,Individual,Manual,Second Owner,1061,67,5,18.9
Mahindra NuvoSport N8 AMT,2016,650000,50000,Diesel,Individual,Automatic,First Owner,1493,100,7,17.45
Hyundai Xcent 1.2 CRDi E,2018,530000,60000,Diesel,Individual,Manual,First Owner,1186,73.97,5,25.4
Maruti Swift VVT ZXI,2017,610000,15000,Petrol,Individual,Manual,First Owner,1197,81.8,5,22
Mahindra Xylo E4 8S,2010,265000,135000,Diesel,Individual,Manual,First Owner,2498,112,8,14
Tata Tiago 1.2 Revotron XZ WO Alloy,2018,560000,26300,Petrol,Individual,Manual,First Owner,1199,84,5,23.84
Mahindra Bolero 2011-2019 SLE,2014,430000,120000,Diesel,Individual,Manual,First Owner,2523,62.1,7,15.96
Maruti Swift Dzire VDI,2017,711000,35000,Diesel,Individual,Manual,First Owner,1248,74.02,5,28.4
Maruti Swift Dzire VXI,2015,511000,30000,Petrol,Individual,Manual,First Owner,1197,83.14,5,20.85
Mahindra Bolero 2011-2019 ZLX,2012,450000,165000,Diesel,Individual,Manual,First Owner,2523,62.1,7,15.96
Tata Zest Revotron 1.2 XT,2015,325000,50000,Petrol,Individual,Manual,First Owner,1193,88.7,5,17.57
Renault Scala Diesel RxZ,2013,434999,120000,Diesel,Individual,Manual,First Owner,1461,84.8,5,21.64
Ford Figo Diesel LXI,2010,210000,100000,Diesel,Individual,Manual,Second Owner,1399,68,5,20
Maruti SX4 Vxi BSIII,2007,160000,120000,Petrol,Individual,Manual,Second Owner,1586,104.68,5,15
Maruti Ertiga VXI Limited Edition,2017,650000,70000,Petrol,Individual,Manual,Second Owner,1373,91.1,7,17.5
Hyundai i20 Sportz 1.2,2014,320000,72000,Petrol,Individual,Manual,First Owner,1197,81.83,5,18.6
Renault KWID Climber 1.0 MT,2017,290000,50000,Petrol,Individual,Manual,First Owner,999,67,5,23.01
Tata Nano CX,2013,80000,30000,Petrol,Individual,Manual,First Owner,624,37.48,4,25.4
Maruti Ciaz ZDi Plus,2015,600000,110000,Diesel,Individual,Manual,First Owner,1248,88.5,5,26.21
Renault KWID RXT,2017,340000,25000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,750000,120000,Diesel,Individual,Manual,First Owner,2494,100.6,7,12.99
Maruti Alto LX,2006,100000,40000,Petrol,Individual,Manual,First Owner,796,46.3,5,19.7
Renault KWID RXT Optional,2019,395000,10000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Maruti Wagon R VXI Minor,2010,200000,65000,Petrol,Individual,Manual,First Owner,1061,67,5,18.9
Maruti Eeco CNG 5 Seater AC BSIV,2019,450000,10000,CNG,Individual,Manual,First Owner,1196,61.7,5,30.716
Mahindra Verito 1.4 G4 BSIV,2012,180000,110000,Petrol,Individual,Manual,Second Owner,1390,75,5,13.87
Mahindra Bolero DI,2008,190000,120000,Diesel,Individual,Manual,Second Owner,2523,63,7,13.6
Maruti Eeco 5 Seater AC BSIV,2015,310000,72000,Petrol,Individual,Manual,First Owner,1196,73,5,15.37
Maruti Ritz VDi,2014,351000,89100,Diesel,Individual,Manual,Second Owner,1248,73.94,5,23.2
Chevrolet Optra 1.6 LT Royale,2006,190000,94000,Petrol,Individual,Manual,Second Owner,1599,104,5,17.4
Hyundai EON Magna Plus,2015,225000,120000,Petrol,Individual,Manual,Second Owner,814,55.2,5,21.1
Chevrolet Spark 1.0 LT,2012,130000,110000,Petrol,Individual,Manual,First Owner,995,62.1,5,16.2
Maruti Ciaz Alpha Diesel,2018,1000000,50000,Diesel,Individual,Manual,First Owner,1248,88.5,5,28.09
Tata Indica V2 DLS TC,2004,55000,90000,Diesel,Individual,Manual,Third Owner,1405,62,5,16.8
Chevrolet Sail 1.2 LT ABS,2014,330000,23000,Petrol,Individual,Manual,First Owner,1199,82.4,5,18.2
Maruti Omni MPI STD BSIV,2013,166000,50000,Petrol,Individual,Manual,First Owner,796,34.2,5,16.8
Maruti Alto K10 2010-2014 VXI,2011,140000,50000,Petrol,Individual,Manual,Third Owner,998,67.1,5,20.92
Maruti Eeco CNG 5 Seater AC BSIV,2017,370000,140000,CNG,Individual,Manual,First Owner,1196,61.7,5,30.716
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,720000,16000,Petrol,Individual,Automatic,First Owner,1197,81.86,5,17.4
Hyundai i20 Active 1.4,2015,500000,126000,Diesel,Individual,Manual,First Owner,1396,88.73,5,21.19
Hyundai Xcent 1.2 VTVT SX,2019,570000,15000,Petrol,Individual,Manual,First Owner,1197,81.86,5,20.14
Maruti Alto LXi,2009,120000,120000,Petrol,Individual,Manual,First Owner,796,46.3,5,19.7
Hyundai Getz GLX,2005,95000,120000,Petrol,Individual,Manual,Fourth & Above Owner,1341,83,5,15.3
Hyundai i10 Sportz AT,2010,196000,110000,Petrol,Individual,Automatic,Third Owner,1197,78.9,5,16.95
Maruti Eeco 5 Seater AC BSIV,2016,392000,38000,Petrol,Individual,Manual,First Owner,1196,73,5,15.37
Tata Manza Aura Plus Safire,2010,150000,104000,Petrol,Individual,Manual,First Owner,1368,90,5,15
Honda BR-V i-VTEC E MT,2017,595000,120000,Petrol,Individual,Manual,First Owner,1497,117.3,7,15.4
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,833000,35000,Diesel,Individual,Automatic,First Owner,1248,88.5,5,24.3
Maruti 800 Std BSII,2003,35000,35000,Petrol,Individual,Manual,Second Owner,796,37,4,16.1
Maruti Ritz VDi,2009,180000,85000,Diesel,Individual,Manual,Third Owner,1248,73.9,5,21.1
Maruti Wagon R VXi BSII,2012,225000,80000,Petrol,Individual,Manual,First Owner,998,67.1,5,18.9
Hyundai i20 Era Diesel,2009,340000,40000,Diesel,Individual,Manual,First Owner,1396,90,5,23
Maruti Wagon R VXI BS IV,2017,400000,65000,Petrol,Individual,Manual,Second Owner,998,67.04,5,20.51
Hyundai Getz GLE,2006,90000,100000,Petrol,Individual,Manual,Third Owner,1341,83,5,15.3
Maruti Ciaz VDi Plus SHVS,2015,650000,84000,Diesel,Individual,Manual,First Owner,1248,88.5,5,28.09
Chevrolet Aveo U-VA 1.2 LS,2010,125000,60000,Petrol,Individual,Manual,First Owner,1150,74.9,5,15.26
Hyundai Getz GLE,2006,81000,100000,Petrol,Individual,Manual,Fourth & Above Owner,1341,83,5,15.3
Maruti Swift Glam,2007,170000,78000,Petrol,Individual,Manual,Second Owner,1298,88.2,5,16.1
Honda City 1.5 EXI,2002,81000,161000,Petrol,Individual,Manual,Fourth & Above Owner,1493,100,5,13
Maruti Alto LX,2005,95000,70000,Petrol,Individual,Manual,Third Owner,796,46.3,5,19.7
Tata Nano Cx BSIV,2010,55000,50000,Petrol,Individual,Manual,Third Owner,624,35,4,26
Renault Lodgy World Edition 110PS,2017,880000,65000,Diesel,Individual,Manual,First Owner,1461,108.5,8,19.98
Renault KWID RXL,2015,200000,50000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Maruti Wagon R VXI 1.2,2019,480000,25000,Petrol,Individual,Manual,First Owner,1197,81.8,5,20.52
Mahindra Bolero 2011-2019 Plus AC,2013,480000,100000,Diesel,Individual,Manual,First Owner,2523,62.1,9,15.96
Hyundai i20 1.2 Asta,2018,700000,6000,Petrol,Individual,Manual,First Owner,1197,81.83,5,18.6
Honda BRV i-DTEC V MT,2016,850000,72113,Diesel,Individual,Manual,First Owner,1498,98.6,7,21.9
Tata Indigo CR4,2012,300000,40000,Diesel,Individual,Manual,First Owner,1396,70,5,23.57
Hyundai i20 1.2 Asta Option,2017,650000,8000,Petrol,Individual,Manual,First Owner,1197,81.83,5,18.6
Maruti Ritz VXI,2010,220000,20000,Petrol,Individual,Manual,First Owner,1197,85.8,5,21.1
Tata Indigo CS LS (TDI) BS-III,2014,300000,45000,Diesel,Individual,Manual,First Owner,1405,69.01,5,19.09
Maruti Swift Dzire VDI,2014,450000,80000,Diesel,Individual,Manual,First Owner,1248,74,5,23.4
Maruti Swift VDI BSIV,2014,400000,90000,Diesel,Individual,Manual,First Owner,1248,74,5,25.2
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,2018,1030000,25000,Diesel,Individual,Manual,First Owner,1248,88.5,5,25.1
Tata Manza Aura Quadrajet,2010,190000,100000,Diesel,Individual,Manual,Second Owner,1248,90,5,18.8
Ford Fiesta 1.4 Duratec EXI,2006,140000,60000,Petrol,Individual,Manual,Second Owner,1388,68,5,16.6
Hyundai i20 Active S Diesel,2018,800000,30000,Diesel,Individual,Manual,First Owner,1396,88.76,5,21.19
Mahindra Scorpio LX 2.6 Turbo,2007,229999,120000,Diesel,Individual,Manual,Third Owner,2609,120,7,10.5
Tata Safari DICOR 2.2 EX 4x2,2011,300000,80000,Diesel,Individual,Manual,Second Owner,2179,138.03,7,13.93
Volkswagen Vento Diesel Highline,2011,375000,69000,Diesel,Individual,Manual,Second Owner,1598,103.6,5,20.54
Chevrolet Beat LT,2010,140000,75000,Petrol,Individual,Manual,First Owner,1199,79.4,5,18.6
Maruti Alto LX,2004,60000,113000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Hyundai Xcent 1.1 CRDi S Option,2014,420000,90000,Diesel,Individual,Manual,Second Owner,1120,71.01,5,24.4
Renault Pulse RxZ,2012,300000,100000,Diesel,Individual,Manual,Third Owner,1461,63.12,5,23.08
Tata Indica Vista Quadrajet VX,2012,150000,110000,Diesel,Individual,Manual,First Owner,1248,74,5,22.3
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,600000,90000,Diesel,Individual,Manual,First Owner,1498,98.59,5,22.77
Ford Figo Diesel Titanium,2011,204999,100000,Diesel,Individual,Manual,Second Owner,1399,68,5,20
Hyundai Xcent 1.2 CRDi SX,2017,625000,50000,Diesel,Individual,Manual,First Owner,1186,73.97,5,25.4
Chevrolet Optra Magnum 1.6 LT Petrol,2009,250000,80000,Petrol,Individual,Manual,Second Owner,1598,102.5,5,12.9
Tata New Safari DICOR 2.2 EX 4x2,2010,535000,96443,Diesel,Individual,Manual,Second Owner,2179,138.1,7,11.57
Maruti Swift AMT VXI,2019,610000,10000,Petrol,Individual,Automatic,First Owner,1197,81.8,5,21.21
Maruti Swift Dzire VDI,2014,509999,110000,Diesel,Individual,Manual,First Owner,1248,74,5,23.4
Tata Safari Storme VX,2014,521000,86000,Diesel,Individual,Manual,Second Owner,2179,138.1,7,14
Maruti Swift Dzire VDI,2014,511000,100000,Diesel,Individual,Manual,First Owner,1248,74,5,23.4
Hyundai i20 Sportz 1.4 CRDi,2014,451000,91000,Diesel,Individual,Manual,First Owner,1396,88.73,5,22.54
Hyundai i10 Sportz,2009,170000,100000,Petrol,Individual,Manual,First Owner,1197,78.9,5,20.36
Maruti Swift Dzire VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,1248,74,5,23.4
Honda City 1.5 V Elegance,2011,375000,90000,Petrol,Individual,Manual,Second Owner,1497,118,5,17
Maruti Alto 800 LXI,2016,305000,60000,Petrol,Individual,Manual,Second Owner,796,47.3,5,22.74
Renault KWID RXT,2016,315000,51500,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Chevrolet Sail 1.3 LS,2016,250000,60000,Diesel,Individual,Manual,Second Owner,1248,74,5,22.1
Ford Figo Diesel EXI,2012,200000,104500,Diesel,Individual,Manual,Second Owner,1399,68,5,20
Renault Duster 110PS Diesel RxL,2012,400000,120000,Diesel,Individual,Manual,Third Owner,1461,108.45,5,19.01
Maruti Swift ZDi,2014,509999,100000,Diesel,Individual,Manual,Second Owner,1248,74,5,22.9
Honda Civic 1.8 V MT,2008,375000,90000,Petrol,Individual,Manual,Third Owner,1799,130,5,13.5
Maruti Wagon R LXI,2005,150000,150000,Petrol,Individual,Manual,Third Owner,998,67.1,5,18.9
Maruti Wagon R AX,2006,75000,60000,Petrol,Individual,Automatic,First Owner,998,67.1,5,18.9
Hyundai Verna 1.4 VTVT,2015,465000,50000,Petrol,Individual,Manual,Second Owner,1396,105.5,5,17.43
Hyundai Grand i10 1.2 CRDi Asta,2019,700000,10000,Diesel,Individual,Manual,First Owner,1186,73.97,5,24
Mahindra Scorpio 1.99 S10,2015,950000,120000,Diesel,Individual,Manual,Third Owner,1997,120,7,15.4
Hyundai i20 1.2 Asta,2017,610000,40000,Petrol,Individual,Manual,First Owner,1197,81.83,5,18.6
Maruti Alto 800 LXI,2014,235000,50000,Petrol,Individual,Manual,First Owner,796,47.3,5,22.74
Maruti Eeco 5 Seater AC BSIV,2017,330000,90000,Petrol,Individual,Manual,First Owner,1196,73,5,15.37
Nissan Terrano XE 85 PS,2014,472000,90000,Diesel,Individual,Manual,First Owner,1461,83.8,5,20.45
Maruti Swift VXI,2019,585000,10000,Petrol,Individual,Manual,First Owner,1197,81.8,5,21.21
Mahindra Supro LX 8 Str,2018,500000,10000,Diesel,Individual,Manual,First Owner,909,45,8,23.5
